unique_id,ds,cutoff,y,lgbm_q10,lgbm_q50,lgbm_q90
ECI_PANAMAX,2025-08-25,2025-08-24,30.18,29.84231401297425,30.00474512355397,30.539127180727792
ECI_PANAMAX,2025-08-26,2025-08-24,30.93,29.789738740747985,30.0655810239305,30.64980640594744
ECI_PANAMAX,2025-08-27,2025-08-24,29.5,29.85330448898315,29.92440885542473,30.594635054409537
ECI_PANAMAX,2025-08-28,2025-08-24,29.71,30.295097670094318,30.372404812107227,31.316165261528003
ECI_PANAMAX,2025-08-29,2025-08-24,30.37,30.135252851156345,30.2222575709967,31.092029061911916
ECI_PANAMAX,2025-08-30,2025-08-24,30.73,30.158247436007922,30.551434838510588,31.37295734291862
ECI_PANAMAX,2025-08-31,2025-08-24,30.47,29.849500852258096,30.079730631210385,30.871269323141565
ECI_PANAMAX,2025-09-01,2025-08-31,30.8,30.309539995374255,30.8447921094392,31.17192851533608
ECI_PANAMAX,2025-09-02,2025-08-31,30.11,29.811075700225206,30.316412549758617,30.814990601850237
ECI_PANAMAX,2025-09-03,2025-08-31,30.56,30.31856011370189,30.17049175916855,30.80464992148765
ECI_PANAMAX,2025-09-04,2025-08-31,30.76,30.143811175341437,30.10943154187493,31.029385700569314
ECI_PANAMAX,2025-09-05,2025-08-31,29.72,30.55282065272826,30.42058501273367,31.164835267697917
ECI_PANAMAX,2025-09-06,2025-08-31,30.17,30.23788125510949,30.13845568631243,30.864930095239426
ECI_PANAMAX,2025-09-07,2025-08-31,30.81,30.48052561776874,30.489725426111047,31.29170519914232
ECI_PANAMAX,2025-09-08,2025-09-07,30.13,30.093527273048487,30.524529865224622,30.795994812964164
ECI_PANAMAX,2025-09-09,2025-09-07,30.9,29.67807988309802,30.127298194603625,30.671962818413306
ECI_PANAMAX,2025-09-10,2025-09-07,30.23,30.09446598566234,30.493442631697384,30.998138587889255
ECI_PANAMAX,2025-09-11,2025-09-07,30.66,30.198960877126986,30.82801596397059,31.40599053654839
ECI_PANAMAX,2025-09-12,2025-09-07,30.59,30.060677488901742,30.514291177007557,30.894976625323512
ECI_PANAMAX,2025-09-13,2025-09-07,29.81,29.723769800396354,30.060328693980317,30.772152600833216
ECI_PANAMAX,2025-09-14,2025-09-07,29.51,29.925212969104628,30.473117602434872,30.891970718262524
ECI_PANAMAX,2025-09-15,2025-09-14,30.17,29.873572220123112,30.434781969191665,30.673166295100824
ECI_PANAMAX,2025-09-16,2025-09-14,30.61,29.68231723226278,30.26331500651155,30.97373946700248
